,종목명,현재가,전일대비,등락률
0,케이웨더,"18,620","상승 11,620",+166.00%
1,아센디오,"1,508",상한가 348,+30.00%
2,하인크코리아,"1,786",상한가 412,+29.99%
3,앤씨앤,"2,060",상한가 475,+29.97%
4,다보링크,"2,850",상한가 655,+29.84%
5,베셀,705,상한가 162,+29.83%
6,가온칩스,"107,600","상승 22,700",+26.74%
7,아이비김영,"2,535",상승 485,+23.66%
8,빛샘전자,"6,350","상승 1,160",+22.35%
9,피에스케이홀딩스,"41,400","상승 6,900",+20.00%
10,디딤이앤에프,602,상승 95,+18.74%
11,엔피디,"2,830",상승 440,+18.41%
12,그린리소스,"31,750","상승 4,350",+15.88%
13,디어유,"37,700","상승 4,950",+15.11%
14,레이크머티리얼즈,"21,450","상승 2,670",+14.22%
