,종목명,현재가,전일대비,등락률
0,삼성전자,"72,700",하락 300,-0.41%
1,SK하이닉스,"155,500","상승 6,500",+4.36%
2,LG에너지솔루션,"407,500",상승 500,+0.12%
3,삼성바이오로직스,"820,000","하락 3,000",-0.36%
4,현대차,"244,500","상승 5,000",+2.09%
5,삼성전자우,"62,800",하락 300,-0.48%
6,기아,"119,500","상승 2,700",+2.31%
7,셀트리온,"176,100",하락 900,-0.51%
8,POSCO홀딩스,"436,000","하락 2,000",-0.46%
9,LG화학,"483,000","하락 17,000",-3.40%
10,NAVER,"200,500","하락 2,000",-0.99%
11,삼성물산,"165,300","상승 4,000",+2.48%
12,삼성SDI,"396,000","하락 4,000",-1.00%
13,KB금융,"65,300",상승 200,+0.31%
14,카카오,"57,800",하락 200,-0.34%
