,종목명,현재가,전일대비,등락률
0,신한 블룸버그 -2X 천연가스 선물 ETN(H),"88,350","하락 -13,360",-13.14%
1,한투 블룸버그 인버스 2X 천연가스선물 ETN,"82,055","하락 -12,405",-13.13%
2,KB 블룸버그 인버스2X 천연가스선물 ETN(H),"88,195","하락 -13,265",-13.07%
3,삼성 인버스 2X 천연가스 선물 ETN C,"88,730","하락 -13,270",-13.01%
4,메리츠 블룸버그 -2X 천연가스 선물 ETN(H),"88,840","하락 -13,065",-12.82%
5,아이티센,"10,080","하락 -1,420",-12.35%
6,광무,"4,340",하락 -600,-12.15%
7,덕산테코피아,"26,150","하락 -3,600",-12.10%
8,휴림네트웍스,799,하락 -105,-11.62%
9,성창기업지주,"2,075",하락 -245,-10.56%
10,카나리아바이오,"1,133",하락 -133,-10.51%
11,네오펙트,"1,229",하락 -132,-9.70%
12,SG세계물산,463,하락 -47,-9.22%
13,휴림에이텍,"1,118",하락 -112,-9.11%
14,링크제니시스,"7,570",하락 -680,-8.24%
