,Symbol,Name,Last Price,Market Time,Change,% Change,Volume,Market Cap,Intraday High/Low,52 Week Range,Day Chart
0,SQ,"Block, Inc.",67.96,4:00PM EST,+3.49,+5.41%,18.789M,41.734B,,,
1,LUNR,"Intuitive Machines, Inc.",8.28,4:00PM EST,-1.04,-11.16%,26.363M,241.966M,,,
2,CVNA,Carvana Co.,52.41,4:00PM EST,+3.01,+6.09%,11.689M,9.308B,,,
3,MELI,"MercadoLibre, Inc.","1,817.98",4:00PM EST,+80.21,+4.62%,"641,027",91.916B,,,
4,BKNG,Booking Holdings Inc.,"3,901.99",4:00PM EST,+160.86,+4.30%,"436,129",136.14B,,,
5,INTU,Intuit Inc.,657.92,4:00PM EST,+19.65,+3.08%,1.904M,184.175B,,,
6,T,AT&T Inc.,16.59,4:02PM EST,-0.41,-2.41%,59.707M,118.619B,,,
7,MRNA,"Moderna, Inc.",99.44,4:00PM EST,+11.85,+13.53%,11.334M,37.915B,,,
8,NU,Nu Holdings Ltd.,10.36,4:00PM EST,+0.27,+2.68%,41.439M,49.261B,,,
9,NVAX,"Novavax, Inc.",4.8800,4:00PM EST,+0.9000,+22.61%,41.386M,579.695M,,,
10,JPM,JPMorgan Chase & Co.,183.07,4:00PM EST,+2.17,+1.20%,8.955M,527.309B,,,
11,^DJI,Dow Jones Industrial Average,"39,069.11",5:06PM EST,+456.87,+1.18%,330.537M,N/A,,,
12,AAOI,"Applied Optoelectronics, Inc.",20.35,4:00PM EST,+1.16,+6.04%,5.021M,770.899M,,,
13,^IXIC,NASDAQ Composite,"16,041.62",5:15PM EST,+460.72,+2.96%,5.068B,N/A,,,
14,ARDX,"Ardelyx, Inc.",8.82,4:00PM EST,+0.32,+3.76%,8.626M,2.047B,,,
15,TBIO,"Telesis Bio, Inc.",0.4581,3:59PM EST,+0.1034,+29.15%,10.737M,13.719M,,,
16,LUNRW,"Intuitive Machines, Inc.",2.1900,3:59PM EST,-0.2600,-10.61%,2.64M,N/A,,,
17,NEM,Newmont Corporation,30.89,4:00PM EST,-2.54,-7.60%,30.476M,35.6B,,,
18,LYV,"Live Nation Entertainment, Inc.",93.49,4:00PM EST,+2.29,+2.51%,3.173M,21.533B,,,
19,WING,Wingstop Inc.,334.05,4:00PM EST,+23.73,+7.65%,1.058M,9.8B,,,
20,ICU,SeaStar Medical Holding Corporation,1.1100,4:00PM EST,-0.3400,-23.45%,37.383M,72.315M,,,
21,GRAB,Grab Holdings Limited,3.1600,4:00PM EST,-0.2900,-8.41%,73.181M,12.362B,,,
22,^GSPC,S&P 500,"5,087.03",5:06PM EST,+105.23,+2.11%,2.575B,N/A,,,
23,MNPR,Monopar Therapeutics Inc.,1.1200,4:00PM EST,+0.5500,+96.49%,151.322M,16.65M,,,
24,RKT,"Rocket Companies, Inc.",10.98,4:00PM EST,-0.02,-0.18%,3.029M,21.821B,,,
25,BLDR,"Builders FirstSource, Inc.",188.37,4:00PM EST,+4.71,+2.56%,2.114M,23.235B,,,
26,INDI,"indie Semiconductor, Inc.",6.89,4:00PM EST,-0.17,-2.41%,3.997M,1.116B,,,
27,OLED,Universal Display Corporation,187.14,4:00PM EST,+3.39,+1.84%,"475,395",8.863B,,,
28,VFIAX,Vanguard 500 Index Admiral,470.20,8:01PM EST,+9.75,+2.12%,N/A,N/A,,,
29,PYPL,"PayPal Holdings, Inc.",58.35,4:00PM EST,+0.87,+1.51%,17.147M,62.536B,,,
0,SQ,"Block, Inc.",67.96,4:00PM EST,+3.49,+5.41%,18.789M,41.734B,,,
1,LUNR,"Intuitive Machines, Inc.",8.28,4:00PM EST,-1.04,-11.16%,26.363M,241.966M,,,
2,CVNA,Carvana Co.,52.41,4:00PM EST,+3.01,+6.09%,11.689M,9.308B,,,
